iter	Passed	Remaining
0	179	179266
1	213	106561
2	260	86679
3	296	73736
4	336	66945
5	377	62560
6	432	61341
7	480	59525
8	522	57523
9	561	55585
10	603	54291
11	645	53107
12	687	52185
13	723	50939
14	769	50541
15	818	50353
16	871	50401
17	907	49519
18	952	49169
19	998	48910
20	1044	48688
21	1086	48295
22	1133	48152
23	1182	48100
24	1233	48103
25	1284	48131
26	1330	47934
27	1381	47945
28	1424	47690
29	1466	47429
30	1511	47245
31	1559	47188
32	1610	47178
33	1652	46963
34	1692	46664
35	1726	46243
36	1761	45856
37	1805	45701
38	1841	45386
39	1878	45091
40	1929	45138
41	1981	45194
42	2016	44879
43	2049	44531
44	2086	44286
45	2121	44005
46	2152	43642
47	2188	43403
48	2233	43344
49	2266	43061
50	2298	42771
51	2336	42588
52	2371	42368
53	2401	42064
54	2436	41871
55	2473	41701
56	2505	41446
57	2540	41262
58	2573	41051
59	2607	40844
60	2643	40687
61	2675	40478
62	2707	40270
63	2742	40104
64	2775	39922
65	2813	39819
66	2849	39683
67	2899	39738
68	2941	39690
69	2984	39646
70	3023	39564
71	3060	39452
72	3105	39437
73	3146	39375
74	3184	39279
75	3227	39242
76	3274	39250
77	3319	39240
78	3365	39231
79	3401	39115
80	3441	39046
81	3481	38977
82	3516	38854
83	3550	38713
84	3586	38611
85	3643	38721
86	3705	38884
87	3772	39097
88	3822	39127
89	3878	39219
90	3930	39265
91	4011	39588
92	4248	41435
93	4405	42465
94	4469	42574
95	4515	42525
96	4551	42368
97	4591	42262
98	4626	42105
99	4662	41959
100	4699	41826
101	4740	41736
102	4783	41662
103	4842	41720
104	4882	41619
105	4921	41508
106	4966	41449
107	5041	41641
108	5129	41927
109	5222	42252
110	5278	42275
111	5340	42343
112	5387	42291
113	5440	42283
114	5482	42191
115	5522	42083
116	5555	41929
117	5591	41796
118	5623	41633
119	5658	41497
120	5692	41350
121	5722	41186
122	5757	41048
123	5793	40925
124	5827	40792
125	5862	40666
126	5897	40538
127	5929	40394
128	5964	40273
129	6026	40332
130	6096	40443
131	6189	40698
132	6278	40927
133	6322	40859
134	6358	40742
135	6395	40628
136	6439	40562
137	6504	40630
138	6604	40911
139	6688	41086
140	6765	41213
141	6839	41327
142	6903	41373
143	6957	41357
144	7000	41280
145	7041	41189
146	7077	41066
147	7115	40960
148	7152	40852
149	7210	40858
150	7262	40835
151	7305	40757
152	7361	40751
153	7413	40727
154	7469	40722
155	7511	40641
156	7559	40592
157	7668	40868
158	7795	41233
159	7894	41444
160	7984	41606
161	8043	41607
162	8109	41643
163	8169	41644
164	8236	41682
165	8290	41652
166	8336	41581
167	8382	41511
168	8434	41475
169	8476	41384
170	8528	41346
171	8574	41278
172	8619	41204
173	8664	41129
174	8705	41038
175	8745	40947
176	8780	40826
177	8816	40716
178	8856	40619
179	8895	40525
180	8933	40423
181	8972	40329
182	9042	40369
183	9115	40426
184	9190	40485
185	9241	40444
186	9297	40421
187	9345	40366
188	9401	40341
189	9443	40261
190	9480	40155
191	9520	40065
192	9553	39946
193	9596	39870
194	9634	39773
195	9666	39654
196	9699	39536
197	9729	39411
198	9766	39310
199	9801	39204
200	9833	39087
201	9862	38961
202	9897	38859
203	9927	38735
204	9964	38643
205	10014	38599
206	10050	38502
207	10081	38387
208	10117	38292
209	10154	38198
210	10196	38129
211	10232	38034
212	10266	37934
213	10299	37829
214	10330	37719
215	10361	37609
216	10391	37495
217	10424	37392
218	10454	37284
219	10485	37177
220	10521	37086
221	10550	36974
222	10584	36878
223	10613	36768
224	10647	36673
225	10679	36574
226	10711	36477
227	10743	36376
228	10773	36273
229	10805	36175
230	10839	36083
231	10871	35987
232	10903	35892
233	10935	35796
234	10968	35704
235	11007	35633
236	11038	35538
237	11072	35451
238	11111	35380
239	11150	35309
240	11187	35235
241	11226	35163
242	11264	35091
243	11299	35010
244	11332	34921
245	11365	34835
246	11396	34744
247	11432	34665
248	11463	34574
249	11494	34483
250	11531	34410
251	11564	34326
252	11599	34249
253	11635	34172
254	11675	34110
255	11709	34031
256	11743	33952
257	11777	33871
258	11812	33796
259	11846	33716
260	11879	33636
261	11915	33562
262	11947	33480
263	11986	33417
264	12022	33344
265	12064	33291
266	12113	33254
267	12152	33191
268	12190	33126
269	12232	33073
270	12269	33006
271	12309	32945
272	12349	32886
273	12480	33068
274	12584	33176
275	12624	33116
276	12671	33074
277	12711	33012
278	12758	32971
279	12810	32940
280	12861	32909
281	12910	32872
282	12955	32822
283	12994	32760
284	13036	32706
285	13082	32660
286	13121	32598
287	13157	32527
288	13194	32460
289	13242	32420
290	13293	32389
291	13342	32350
292	13387	32303
293	13427	32243
294	13470	32192
295	13518	32151
296	13565	32110
297	13602	32044
298	13641	31981
299	13700	31967
300	13761	31957
301	13813	31925
302	13868	31902
303	13911	31849
304	13944	31774
305	13979	31706
306	14017	31643
307	14058	31585
308	14110	31554
309	14186	31576
310	14258	31588
311	14303	31540
312	14363	31527
313	14401	31462
314	14436	31394
315	14470	31322
316	14509	31261
317	14557	31219
318	14625	31221
319	14687	31210
320	14725	31148
321	14765	31089
322	14797	31015
323	14829	30940
324	14862	30867
325	14897	30800
326	14931	30731
327	14972	30675
328	15005	30604
329	15043	30543
330	15094	30509
331	15155	30493
332	15195	30436
333	15242	30394
334	15291	30354
335	15337	30310
336	15391	30280
337	15442	30244
338	15484	30191
339	15548	30182
340	15594	30137
341	15641	30094
342	15680	30034
343	15727	29992
344	15772	29943
345	15820	29904
346	15866	29859
347	15919	29826
348	15958	29768
349	16004	29723
350	16045	29667
351	16087	29616
352	16138	29579
353	16192	29549
354	16247	29520
355	16314	29513
